銘柄名称,市場名称,足種,日付,時刻,始値,高値,安値,終値,出来高,H_Open,H_High,H_Low,H_Close,TREND,EP,AF,PSAR,Period,Diff
,,,2025/01/29,09:12,1963.0 ,1967.5 ,1963.0 ,1967.5 ,220100,1964.50 ,1967.50 ,1963.00 ,1965.25 ,1,1963.00 ,0.02 ,1966.00 ,0,
,,,2025/01/29,09:13,1967.5 ,1968.0 ,1964.0 ,1965.5 ,269400,1964.88 ,1968.00 ,1964.00 ,1966.25 ,-1,1968.00 ,0.02 ,1963.00 ,0,
,,,2025/01/29,09:14,1965.5 ,1967.5 ,1965.5 ,1966.0 ,162000,1965.56 ,1967.50 ,1965.50 ,1966.13 ,1,1968.00 ,0.02 ,1968.00 ,0,
,,,2025/01/29,09:15,1965.5 ,1966.0 ,1963.0 ,1964.5 ,271200,1965.84 ,1966.00 ,1963.00 ,1964.75 ,-1,1963.00 ,0.02 ,1968.00 ,0,
,,,2025/01/29,09:16,1965.0 ,1966.0 ,1964.5 ,1964.5 ,85900,1965.30 ,1966.00 ,1964.50 ,1965.00 ,-1,1963.00 ,0.02 ,1967.90 ,1,0.0 
,,,2025/01/29,09:17,1964.5 ,1965.5 ,1964.0 ,1965.0 ,118700,1965.15 ,1965.50 ,1964.00 ,1964.75 ,-1,1963.00 ,0.02 ,1967.80 ,2,-0.5 
,,,2025/01/29,09:18,1964.5 ,1967.5 ,1964.5 ,1966.0 ,210000,1964.95 ,1967.50 ,1964.50 ,1965.63 ,-1,1963.00 ,0.02 ,1967.71 ,3,-1.5 
,,,2025/01/29,09:19,1966.0 ,1966.0 ,1964.0 ,1964.0 ,120000,1965.29 ,1966.00 ,1964.00 ,1965.00 ,-1,1963.00 ,0.02 ,1967.61 ,4,0.5 
,,,2025/01/29,09:20,1964.0 ,1966.0 ,1964.0 ,1965.5 ,171000,1965.14 ,1966.00 ,1964.00 ,1964.88 ,-1,1963.00 ,0.02 ,1967.52 ,5,-1.0 
,,,2025/01/29,09:21,1966.0 ,1967.5 ,1966.0 ,1967.0 ,139700,1965.01 ,1967.50 ,1965.01 ,1966.63 ,-1,1963.00 ,0.02 ,1967.43 ,6,-2.5 
,,,2025/01/29,09:22,1967.0 ,1968.0 ,1965.0 ,1965.5 ,196600,1965.82 ,1968.00 ,1965.00 ,1966.38 ,1,1965.00 ,0.02 ,1963.00 ,0,
,,,2025/01/29,09:23,1966.0 ,1967.5 ,1965.0 ,1967.5 ,60300,1966.10 ,1967.50 ,1965.00 ,1966.50 ,1,1967.50 ,0.04 ,1963.18 ,1,2.0 
,,,2025/01/29,09:24,1967.5 ,1968.5 ,1966.0 ,1967.0 ,209300,1966.30 ,1968.50 ,1966.00 ,1967.25 ,1,1968.50 ,0.06 ,1963.50 ,2,1.5 
,,,2025/01/29,09:25,1967.0 ,1967.0 ,1965.5 ,1967.0 ,294800,1966.77 ,1967.00 ,1965.50 ,1966.63 ,1,1968.50 ,0.06 ,1963.80 ,3,1.5 
,,,2025/01/29,09:26,1966.5 ,1967.5 ,1965.5 ,1966.5 ,110200,1966.70 ,1967.50 ,1965.50 ,1966.50 ,1,1968.50 ,0.06 ,1964.08 ,4,1.0 
,,,2025/01/29,09:27,1966.5 ,1966.5 ,1964.5 ,1965.5 ,192600,1966.60 ,1966.60 ,1964.50 ,1965.75 ,1,1968.50 ,0.06 ,1964.35 ,5,0.0 
,,,2025/01/29,09:28,1965.5 ,1965.5 ,1964.0 ,1964.5 ,227200,1966.17 ,1966.17 ,1964.00 ,1964.88 ,-1,1966.17 ,0.02 ,1968.50 ,0,
,,,2025/01/29,09:29,1964.5 ,1966.5 ,1964.5 ,1965.5 ,123100,1965.52 ,1966.50 ,1964.50 ,1965.25 ,-1,1964.50 ,0.04 ,1968.34 ,1,-1.0 
