時刻,株価
14:17:40,1839.0 
14:17:50,1839.0 
14:17:52,1839.0 
14:17:53,1838.5 
14:17:59,1838.5 
14:18:07,1838.5 
14:18:09,1839.0 
14:18:11,1838.5 
14:18:14,1838.5 
14:18:17,1838.5 
14:18:18,1838.5 
14:18:19,1839.0 
14:18:21,1838.5 
14:18:24,1838.5 
14:18:27,1838.5 
14:18:29,1838.5 
14:18:31,1839.5 
14:18:32,1839.0 
14:18:33,1839.0 
14:18:37,1839.0 
14:18:39,1839.0 
14:18:45,1839.0 
14:18:50,1839.0 
14:18:51,1839.0 
14:18:59,1839.5 
14:19:00,1839.0 
14:19:09,1839.0 
14:19:10,1839.5 
14:19:16,1839.0 
14:19:20,1839.0 
14:19:24,1839.0 
14:19:28,1839.0 
14:19:32,1839.0 
14:19:35,1839.0 
14:19:50,1839.5 
14:19:52,1839.0 
14:19:58,1839.0 
14:20:06,1839.0 
14:20:07,1839.0 
14:20:10,1838.5 
14:20:11,1839.0 
14:20:13,1838.5 
14:20:14,1839.0 
14:20:16,1839.0 
14:20:20,1839.5 
14:20:26,1839.0 
14:20:29,1839.5 
14:20:32,1839.0 
14:20:36,1839.0 
14:20:38,1839.0 
14:20:41,1839.0 
14:20:49,1839.0 
14:20:51,1839.0 
14:20:54,1839.0 
14:20:56,1838.5 
14:20:57,1839.0 
14:21:00,1839.0 
14:21:02,1839.0 
14:21:06,1839.0 
14:21:07,1838.5 
14:21:09,1838.0 
14:21:13,1838.0 
14:21:17,1838.0 
14:21:20,1838.0 
14:21:21,1838.5 
14:21:24,1838.5 
14:21:25,1838.5 
14:21:26,1838.0 
14:21:30,1838.0 
14:21:33,1838.0 
14:21:38,1838.0 
14:21:43,1838.0 
14:21:50,1838.5 
14:21:51,1838.0 
14:22:04,1838.0 
14:22:12,1838.0 
14:22:14,1838.0 
14:22:17,1838.0 
14:22:19,1838.0 
14:22:21,1838.0 
14:22:23,1838.0 
14:22:25,1838.0 
14:22:30,1838.0 
14:22:32,1838.0 
14:22:35,1838.0 
14:22:36,1838.0 
14:22:40,1838.0 
14:22:44,1838.0 
14:22:48,1838.0 
14:22:51,1838.5 
14:22:53,1838.0 
14:22:54,1838.0 
14:22:56,1838.0 
14:23:01,1838.0 
14:23:02,1838.0 
14:23:03,1838.0 
14:23:06,1838.5 
14:23:10,1838.0 
14:23:14,1838.0 
14:23:16,1838.0 
14:23:18,1838.0 
14:23:20,1838.0 
14:23:21,1838.0 
14:23:28,1838.0 
14:23:30,1838.5 
14:23:32,1838.5 
14:23:33,1838.0 
14:23:35,1838.0 
14:23:38,1838.0 
14:23:47,1838.0 
14:23:51,1838.0 
14:23:56,1838.0 
14:23:59,1838.0 
14:24:04,1838.0 
14:24:05,1838.5 
14:24:07,1838.0 
14:24:11,1838.0 
14:24:21,1838.5 
14:24:24,1838.5 
14:24:32,1837.5 
14:24:34,1838.0 
14:24:36,1838.0 
14:24:40,1838.0 
14:24:46,1837.5 
14:24:50,1837.5 
14:24:51,1837.5 
14:24:55,1838.0 
14:24:58,1838.0 
14:24:59,1837.5 
14:25:02,1837.5 
14:25:10,1838.0 
14:25:14,1837.5 
14:25:17,1838.0 
14:25:21,1838.0 
14:25:22,1837.5 
14:25:26,1838.0 
14:25:27,1837.5 
14:25:34,1838.0 
14:25:36,1837.5 
14:25:38,1837.5 
14:25:39,1838.0 
14:25:42,1837.5 
14:25:46,1837.5 
14:25:48,1837.5 
14:25:49,1838.0 
14:25:50,1838.0 
14:25:53,1838.0 
14:25:55,1837.5 
14:25:59,1837.5 
14:26:00,1837.5 
14:26:04,1838.0 
14:26:07,1837.5 
14:26:08,1838.0 
14:26:18,1837.5 
14:26:28,1837.5 
14:26:35,1838.0 
14:26:38,1838.0 
14:26:41,1838.0 
14:26:43,1838.0 
14:26:44,1838.0 
14:26:54,1838.5 
14:26:59,1838.5 
14:27:04,1838.5 
14:27:07,1838.5 
14:27:10,1838.5 
14:27:14,1838.0 
14:27:16,1838.0 
14:27:17,1838.5 
14:27:24,1838.0 
14:27:31,1838.0 
14:27:32,1838.5 
14:27:35,1838.5 
14:27:39,1838.0 
14:27:41,1838.0 
14:27:43,1838.0 
14:27:51,1838.5 
14:27:53,1838.0 
14:27:55,1838.0 
14:27:57,1838.0 
14:28:14,1838.0 
14:28:16,1838.5 
14:28:18,1838.0 
14:28:21,1838.0 
14:28:22,1838.5 
14:28:25,1838.0 
14:28:26,1838.0 
14:28:27,1838.5 
14:28:29,1838.5 
14:28:34,1838.0 
14:28:37,1838.0 
14:28:39,1837.5 
14:28:41,1838.0 
14:28:52,1838.0 
14:28:57,1838.0 
14:28:59,1838.0 
14:29:03,1838.0 
14:29:05,1837.5 
14:29:17,1837.5 
14:29:20,1837.0 
14:29:21,1837.0 
14:29:22,1837.0 
14:29:29,1837.0 
14:29:30,1836.5 
14:29:31,1836.5 
14:29:35,1836.5 
14:29:38,1836.5 
14:29:40,1837.0 
14:29:42,1836.5 
14:29:44,1837.0 
14:29:50,1837.0 
14:29:56,1837.0 
14:29:59,1837.0 
14:30:01,1836.5 
14:30:04,1837.0 
14:30:07,1837.0 
14:30:18,1837.0 
14:30:20,1837.0 
14:30:22,1837.0 
14:30:30,1837.0 
14:30:40,1837.0 
14:30:41,1837.0 
14:30:43,1837.5 
14:30:45,1837.0 
14:30:53,1837.0 
14:30:57,1837.0 
14:30:58,1837.0 
14:30:59,1837.0 
14:31:04,1836.5 
14:31:05,1836.5 
14:31:07,1836.5 
14:31:09,1837.0 
14:31:19,1836.5 
14:31:21,1837.0 
14:31:29,1836.5 
14:31:33,1836.5 
14:31:36,1837.0 
14:31:38,1836.5 
14:31:40,1836.5 
14:31:44,1836.5 
14:31:50,1836.5 
14:31:52,1836.5 
14:31:56,1837.0 
14:31:58,1837.0 
14:32:00,1837.0 
14:32:02,1837.0 
14:32:07,1837.0 
14:32:10,1837.0 
14:32:12,1837.0 
14:32:15,1837.0 
14:32:17,1837.0 
14:32:19,1837.0 
14:32:21,1837.0 
14:32:24,1837.5 
14:32:26,1837.0 
14:32:29,1837.5 
14:32:37,1837.0 
14:32:39,1837.0 
14:32:46,1837.0 
14:32:47,1837.0 
14:32:52,1837.0 
14:32:55,1837.0 
14:32:57,1837.0 
14:33:00,1837.0 
14:33:02,1837.0 
14:33:06,1837.0 
14:33:07,1837.0 
14:33:10,1837.0 
14:33:12,1837.0 
14:33:13,1837.0 
14:33:15,1837.0 
14:33:17,1837.0 
14:33:20,1837.0 
14:33:21,1837.0 
14:33:23,1837.5 
14:33:26,1837.0 
14:33:30,1837.0 
14:33:37,1837.0 
14:33:47,1837.5 
14:33:57,1837.0 
14:33:59,1837.5 
14:34:07,1837.0 
14:34:09,1837.0 
14:34:11,1837.0 
14:34:15,1837.0 
14:34:16,1837.0 
14:34:19,1836.5 
14:34:21,1837.0 
14:34:24,1837.0 
14:34:27,1837.0 
14:34:31,1837.0 
14:34:35,1837.0 
14:34:40,1837.0 
14:34:42,1837.0 
14:34:45,1837.0 
14:34:46,1837.0 
14:34:48,1836.5 
14:34:49,1837.0 
14:34:52,1837.0 
14:34:54,1837.0 
14:34:57,1837.0 
14:34:58,1837.0 
14:35:00,1837.0 
14:35:06,1837.0 
14:35:09,1837.0 
14:35:11,1837.0 
14:35:19,1837.0 
14:35:21,1837.5 
14:35:25,1837.0 
14:35:31,1837.0 
14:35:35,1837.0 
14:35:37,1837.5 
14:35:41,1837.0 
14:35:45,1837.0 
14:35:47,1837.0 
14:35:49,1837.0 
14:35:58,1837.0 
14:36:04,1836.5 
14:36:23,1836.5 
14:36:25,1836.5 
14:36:28,1837.0 
14:36:32,1836.5 
14:36:34,1837.0 
14:36:35,1837.0 
14:36:37,1836.5 
14:36:49,1836.5 
14:36:50,1837.0 
14:36:53,1836.5 
14:36:56,1836.5 
14:36:59,1836.5 
14:37:00,1836.5 
14:37:03,1836.5 
14:37:13,1836.0 
14:37:14,1836.0 
14:37:18,1836.0 
14:37:19,1835.5 
14:37:23,1836.0 
14:37:33,1836.0 
14:37:34,1836.5 
14:37:36,1836.5 
14:37:39,1836.5 
14:37:41,1836.5 
14:37:46,1836.5 
14:37:50,1836.5 
14:37:51,1836.0 
14:37:53,1837.0 
14:37:54,1836.5 
14:37:56,1836.5 
14:38:01,1836.5 
14:38:02,1836.5 
14:38:05,1836.5 
14:38:09,1836.5 
14:38:10,1836.0 
14:38:14,1836.0 
14:38:16,1836.5 
14:38:21,1836.0 
14:38:25,1836.0 
14:38:26,1836.0 
14:38:30,1836.0 
14:38:33,1836.0 
14:38:34,1836.0 
14:38:35,1836.0 
14:38:38,1836.0 
14:38:39,1836.0 
14:38:41,1836.5 
14:38:51,1836.0 
14:38:54,1836.5 
14:38:55,1836.5 
14:38:56,1836.5 
14:38:59,1836.5 
14:39:02,1836.5 
14:39:03,1836.5 
14:39:07,1836.5 
14:39:10,1837.0 
14:39:12,1836.5 
14:39:14,1836.5 
14:39:18,1836.5 
14:39:19,1836.5 
14:39:23,1836.5 
14:39:25,1836.5 
14:39:26,1837.0 
14:39:34,1837.0 
14:39:37,1836.5 
14:39:38,1836.5 
14:39:39,1836.5 
14:39:45,1836.5 
14:39:47,1836.5 
14:39:49,1836.5 
14:39:54,1836.5 
14:39:56,1836.5 
14:40:01,1837.0 
14:40:05,1836.5 
14:40:07,1836.5 
14:40:13,1836.5 
14:40:18,1836.5 
14:40:20,1837.0 
14:40:23,1836.5 
14:40:26,1836.5 
14:40:27,1836.0 
14:40:30,1836.5 
14:40:32,1836.0 
14:40:33,1836.5 
14:40:38,1836.5 
14:40:40,1836.5 
14:40:41,1836.5 
14:40:49,1836.5 
14:40:56,1836.5 
14:40:57,1836.5 
14:40:59,1837.0 
14:41:01,1837.0 
14:41:14,1837.0 
14:41:20,1837.0 
14:41:21,1836.5 
14:41:25,1837.0 
14:41:29,1837.0 
14:41:32,1836.5 
14:41:34,1836.5 
14:41:39,1837.0 
14:41:40,1836.5 
14:41:43,1836.5 
14:41:48,1836.5 
14:41:49,1837.0 
14:42:01,1836.5 
14:42:03,1836.5 
14:42:04,1836.5 
14:42:07,1837.0 
14:42:13,1837.0 
14:42:15,1837.0 
14:42:16,1837.0 
14:42:18,1837.0 
14:42:20,1837.0 
14:42:22,1837.0 
14:42:23,1837.0 
14:42:27,1837.0 
14:42:30,1837.0 
14:42:32,1837.0 
14:42:34,1837.0 
14:42:36,1837.5 
14:42:38,1837.5 
14:42:39,1837.5 
14:42:44,1837.0 
14:42:51,1837.0 
14:43:06,1837.0 
14:43:07,1837.0 
14:43:09,1837.0 
14:43:11,1837.5 
14:43:15,1837.5 
14:43:21,1837.0 
14:43:24,1837.0 
14:43:25,1837.5 
14:43:35,1837.0 
14:43:37,1837.5 
14:43:39,1837.5 
14:43:41,1837.5 
14:43:43,1837.5 
14:43:44,1837.5 
14:43:46,1838.0 
14:43:50,1837.5 
14:43:54,1838.0 
14:43:55,1838.0 
14:43:57,1838.0 
14:43:59,1838.0 
14:44:01,1837.5 
14:44:04,1838.0 
14:44:16,1837.5 
14:44:18,1838.0 
14:44:20,1837.5 
14:44:24,1837.5 
14:44:27,1837.5 
14:44:32,1837.0 
14:44:37,1837.5 
14:44:39,1837.5 
14:44:43,1837.5 
14:44:45,1837.5 
14:44:48,1837.0 
14:44:51,1837.0 
14:44:52,1837.0 
14:44:56,1837.5 
14:44:59,1837.5 
14:45:01,1837.5 
14:45:03,1837.5 
14:45:06,1837.5 
14:45:10,1837.0 
14:45:12,1837.0 
14:45:14,1837.0 
14:45:16,1836.5 
14:45:21,1837.0 
14:45:24,1836.5 
14:45:27,1837.0 
14:45:28,1836.5 
14:45:29,1836.5 
14:45:32,1837.0 
14:45:33,1837.5 
14:45:36,1837.5 
14:45:37,1837.5 
14:45:42,1837.5 
14:45:48,1837.5 
14:45:51,1837.5 
14:45:53,1837.5 
14:45:56,1837.5 
14:45:57,1837.5 
14:46:00,1837.0 
14:46:03,1837.5 
14:46:05,1837.5 
14:46:07,1837.5 
14:46:09,1837.5 
14:46:18,1837.5 
14:46:20,1837.5 
14:46:23,1837.0 
14:46:24,1837.0 
14:46:29,1837.5 
14:46:30,1837.5 
14:46:34,1837.5 
14:46:36,1837.5 
14:46:39,1837.5 
14:46:41,1837.5 
14:46:42,1837.5 
14:46:46,1837.5 
14:46:49,1837.5 
14:46:52,1837.5 
14:46:53,1837.5 
14:46:55,1838.0 
14:46:57,1838.0 
14:47:02,1837.5 
14:47:04,1838.0 
14:47:13,1838.0 
14:47:16,1837.5 
14:47:24,1837.5 
14:47:30,1838.0 
14:47:42,1837.5 
14:47:43,1838.0 
14:47:46,1837.5 
14:47:48,1837.5 
14:47:49,1838.0 
14:47:53,1837.5 
14:47:56,1837.5 
14:47:58,1838.0 
14:48:00,1837.5 
14:48:02,1837.5 
14:48:04,1837.5 
14:48:07,1838.0 
14:48:09,1838.0 
14:48:11,1837.5 
14:48:13,1838.0 
14:48:15,1837.5 
14:48:21,1837.5 
14:48:28,1837.5 
14:48:35,1837.5 
14:48:39,1837.5 
14:48:40,1837.5 
14:48:42,1837.5 
14:48:44,1837.5 
14:48:55,1837.5 
14:49:04,1838.0 
14:49:10,1837.5 
14:49:14,1837.5 
14:49:18,1837.5 
14:49:24,1837.5 
14:49:25,1837.5 
14:49:28,1837.5 
14:49:43,1837.5 
14:49:44,1838.0 
14:49:47,1837.5 
14:49:49,1837.5 
14:49:51,1837.5 
14:49:52,1837.5 
14:49:55,1837.5 
14:49:56,1838.0 
14:49:59,1837.5 
14:50:04,1837.5 
14:50:05,1838.0 
14:50:06,1837.5 
14:50:10,1837.5 
14:50:13,1837.5 
14:50:15,1838.0 
14:50:16,1838.0 
14:50:18,1837.5 
14:50:20,1837.5 
14:50:22,1838.0 
14:50:30,1837.5 
14:50:38,1837.5 
14:50:39,1838.0 
14:50:42,1838.0 
14:50:43,1838.0 
14:50:45,1837.5 
14:50:49,1838.0 
14:50:53,1838.0 
14:50:55,1838.0 
14:50:58,1838.0 
14:50:59,1838.0 
14:51:00,1837.5 
14:51:04,1838.0 
14:51:06,1838.0 
14:51:10,1838.5 
14:51:12,1838.0 
14:51:16,1838.5 
14:51:18,1838.0 
14:51:19,1838.5 
14:51:21,1838.5 
14:51:28,1838.5 
14:51:30,1838.5 
14:51:32,1838.5 
14:51:34,1838.5 
14:51:38,1838.5 
14:51:39,1838.5 
14:51:41,1838.5 
14:51:42,1838.5 
14:51:45,1838.5 
14:51:46,1838.0 
14:51:49,1838.5 
14:51:54,1838.0 
14:51:55,1838.5 
14:51:58,1838.5 
14:52:00,1838.5 
14:52:05,1838.5 
14:52:07,1838.5 
14:52:11,1839.0 
14:52:15,1839.0 
14:52:24,1839.0 
14:52:26,1838.5 
14:52:35,1838.5 
14:52:39,1839.0 
14:52:48,1838.5 
14:52:51,1838.0 
14:52:52,1838.5 
14:52:55,1838.5 
14:52:57,1838.5 
14:53:00,1839.0 
14:53:01,1838.5 
14:53:06,1838.0 
14:53:09,1838.5 
14:53:22,1838.5 
14:53:24,1838.5 
14:53:25,1838.5 
14:53:29,1838.5 
14:53:31,1839.0 
14:53:33,1839.0 
14:53:35,1838.5 
14:53:37,1838.5 
14:53:40,1838.5 
14:53:41,1838.5 
14:53:46,1838.0 
14:53:53,1838.5 
14:53:56,1838.5 
14:53:59,1838.0 
14:54:04,1838.0 
14:54:06,1838.0 
14:54:08,1838.0 
14:54:11,1838.0 
14:54:14,1838.0 
14:54:15,1837.5 
14:54:17,1838.0 
14:54:19,1838.0 
14:54:20,1838.0 
14:54:23,1838.0 
14:54:26,1838.0 
14:54:31,1838.0 
14:54:35,1838.0 
14:54:37,1838.0 
14:54:42,1838.0 
14:54:43,1838.0 
14:54:44,1838.0 
14:54:47,1838.0 
14:54:49,1838.0 
14:54:55,1838.0 
14:54:56,1838.0 
14:54:58,1838.0 
14:55:00,1838.5 
14:55:02,1838.0 
14:55:06,1838.5 
14:55:13,1838.0 
14:55:20,1838.0 
14:55:22,1838.0 
14:55:24,1838.5 
14:55:25,1838.0 
14:55:27,1838.0 
14:55:29,1838.5 
14:55:31,1838.5 
14:55:33,1838.5 
14:55:36,1838.5 
14:55:38,1838.0 
14:55:40,1838.5 
14:55:42,1838.5 
14:55:45,1839.0 
14:55:47,1838.5 
14:55:50,1838.0 
14:55:57,1839.0 
14:56:03,1838.0 
14:56:10,1838.5 
14:56:11,1838.5 
14:56:16,1838.0 
14:56:21,1837.5 
14:56:24,1837.5 
14:56:27,1837.5 
14:56:30,1837.5 
14:56:34,1837.5 
14:56:36,1837.5 
14:56:42,1837.5 
14:56:44,1837.5 
14:56:46,1837.5 
14:56:48,1837.5 
14:56:50,1837.0 
14:56:51,1837.0 
14:56:53,1836.5 
14:56:55,1836.5 
14:56:58,1837.0 
14:57:04,1836.5 
14:57:05,1836.5 
14:57:07,1835.5 
14:57:08,1835.5 
14:57:10,1835.5 
14:57:13,1835.5 
14:57:15,1835.5 
14:57:17,1835.5 
14:57:20,1836.0 
14:57:22,1835.5 
14:57:24,1835.5 
14:57:27,1835.5 
14:57:30,1835.0 
14:57:41,1835.0 
14:57:42,1835.0 
14:57:48,1835.0 
14:57:51,1835.0 
14:57:52,1835.0 
14:57:54,1835.0 
14:57:58,1835.0 
14:58:02,1835.0 
14:58:04,1835.0 
14:58:08,1835.5 
14:58:09,1835.5 
14:58:12,1835.5 
14:58:14,1835.5 
14:58:15,1835.5 
14:58:19,1836.0 
14:58:20,1835.5 
14:58:26,1836.0 
14:58:29,1836.0 
14:58:31,1836.0 
14:58:34,1835.5 
14:58:36,1836.0 
14:58:41,1836.0 
14:58:44,1835.5 
14:58:47,1835.5 
14:58:50,1836.0 
14:58:55,1835.0 
14:58:58,1835.0 
14:59:03,1835.0 
14:59:06,1835.0 
14:59:12,1835.0 
14:59:13,1834.5 
14:59:15,1834.5 
14:59:18,1835.0 
14:59:20,1835.0 
14:59:23,1835.0 
14:59:24,1835.0 
14:59:26,1834.5 
14:59:28,1835.0 
14:59:30,1835.0 
14:59:32,1835.0 
14:59:39,1835.0 
14:59:42,1835.0 
14:59:46,1835.0 
14:59:49,1835.0 
14:59:55,1835.0 
14:59:59,1835.0 
15:00:01,1834.0 
15:00:03,1834.5 
15:00:05,1834.5 
15:00:08,1834.5 
15:00:11,1835.0 
15:00:13,1834.5 
15:00:22,1834.5 
15:00:24,1835.0 
15:00:31,1835.0 
15:00:37,1834.5 
15:00:40,1835.0 
15:00:41,1834.5 
15:00:45,1835.0 
15:00:47,1834.5 
15:00:49,1834.5 
15:00:51,1834.5 
15:00:53,1834.5 
15:00:54,1834.5 
15:00:59,1834.5 
15:01:06,1834.5 
15:01:08,1834.5 
